시도,시군구,구분,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
,,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,
,,중상자수,15617,9381,1048,454,34,181,7664,5766,3548,2218,0,0,393,393,52,52,25,25,14808,8607,841,354,50,171,7191,5683,3575,2108,,,422,422,59,59,37,37,14894,8532,816,299,38,159,7220,5842,3642,2200,,,421,421,59,59,40,40,14432,8237,710,291,50,132,7054,5816,3622,2194,,,299,299,52,52,28,28,12911,7433,657,269,35,96,6376,5172,3315,1857,,,256,256,29,29,21,21
,,경상자수,38719,22659,988,895,98,429,20249,14948,8540,6408,1,1,890,890,170,170,51,51,36817,21082,839,623,132,482,19006,14420,8257,6163,,,1019,1019,217,217,79,79,36593,20919,819,566,87,505,18942,14430,8122,6308,,,1000,1000,170,170,74,74,37706,21444,819,636,135,485,19369,15272,8698,6574,,,783,783,147,147,60,60,37098,21397,747,519,120,345,19666,14778,8893,5885,,,752,752,121,121,50,50
,,부상신고자수,4247,2551,122,87,13,49,2280,1578,987,591,0,0,92,92,15,15,11,11,5136,2888,119,90,17,40,2622,2052,1187,865,,,171,171,16,16,9,9,5858,3336,137,88,19,71,3021,2344,1439,905,,,149,149,17,17,12,12,6518,3708,151,122,23,93,3319,2660,1568,1092,,,134,134,11,11,5,5,5660,3284,145,71,21,45,3002,2226,1332,894,,,135,135,10,10,5,5
,종로구,발생건수,1374,890,71,65,3,3,748,455,272,183,,,28,28,,,1,1,1274,799,68,32,6,6,687,430,255,175,,,44,44,,,1,1,1314,879,58,43,10,1,767,381,225,156,,,53,53,,,1,1,1414,926,45,35,9,4,833,461,276,185,,,25,25,,,2,2,1299,827,50,24,6,1,746,463,262,201,,,8,8,,,1,1
,,사망자수,12,11,0,1,0,0,10,1,1,0,,,0,0,,,0,0,13,11,4,0,1,0,6,2,0,2,,,0,0,,,0,0,11,11,4,0,0,0,7,0,0,0,,,0,0,,,0,0,8,8,2,0,0,0,6,0,0,0,,,0,0,,,0,0,9,3,0,0,0,0,3,6,3,3,,,0,0,,,0,0
,,부상자수,1994,1217,76,90,4,5,1042,738,446,292,,,38,38,,,1,1,1770,1072,67,44,8,9,944,640,399,241,,,57,57,,,1,1,1790,1164,62,57,24,2,1019,563,347,216,,,62,62,,,1,1,1933,1222,48,48,13,6,1107,671,416,255,,,38,38,,,2,2,1748,1097,58,35,6,1,997,641,384,257,,,8,8,,,2,2
,,중상자수,532,345,38,24,2,2,279,178,113,65,,,9,9,,,0,0,460,284,36,11,1,1,235,158,106,52,,,17,17,,,1,1,414,287,25,16,5,0,241,112,66,46,,,14,14,,,1,1,471,310,15,6,2,3,284,152,87,65,,,9,9,,,0,0,401,246,20,11,3,1,211,155,93,62,,,0,0,,,0,0
,,경상자수,1169,701,31,49,2,3,616,442,258,184,,,26,26,,,0,0,1081,641,24,27,5,7,578,402,245,157,,,38,38,,,0,0,1091,687,28,30,16,2,611,366,229,137,,,38,38,,,0,0,1202,724,26,25,10,3,660,449,284,165,,,27,27,,,2,2,1151,719,26,22,3,0,668,422,251,171,,,8,8,,,2,2
,,부상신고자수,293,171,7,17,0,0,147,118,75,43,,,3,3,,,1,1,229,147,7,6,2,1,131,80,48,32,,,2,2,,,0,0,285,190,9,11,3,0,167,85,52,33,,,10,10,,,0,0,260,188,7,17,1,0,163,70,45,25,,,2,2,,,0,0,196,132,12,2,0,0,118,64,40,24,,,0,0,,,0,0
,중구,발생건수,1458,857,61,47,12,1,736,522,276,246,,,69,69,8,8,2,2,1442,797,57,51,18,1,670,568,276,292,,,70,70,5,5,2,2,1305,761,53,32,14,1,661,499,235,264,,,28,28,7,7,10,10,1338,787,38,30,14,,705,510,249,261,,,33,33,8,8,,,1288,799,63,27,15,2,692,469,267,202,,,20,20,,,,
,,사망자수,12,7,0,1,0,0,6,4,2,2,,,1,1,0,0,0,0,10,8,1,0,0,0,7,2,2,0,,,0,0,0,0,0,0,7,2,0,0,2,0,0,3,2,1,,,0,0,0,0,2,2,8,4,1,1,0,,2,3,1,2,,,1,1,0,0,,,17,11,0,1,1,0,9,6,4,2,,,0,0,,,,
,,부상자수,2018,1143,71,54,21,1,996,762,437,325,,,94,94,17,17,2,2,1975,1015,60,59,40,2,854,850,446,404,,,96,96,11,11,3,3,1785,1014,53,41,29,1,890,703,358,345,,,38,38,13,13,17,17,1803,1068,43,45,37,,943,686,345,341,,,39,39,10,10,,,1716,1029,68,37,42,4,878,666,395,271,,,21,21,,,,
,,중상자수,560,328,47,20,7,1,253,205,120,85,,,21,21,5,5,1,1,483,254,29,20,6,1,198,211,100,111,,,17,17,1,1,0,0,504,288,21,20,8,1,238,195,111,84,,,10,10,4,4,7,7,500,286,23,8,14,,241,199,110,89,,,11,11,4,4,,,447,284,28,21,10,0,225,159,104,55,,,4,4,,,,
,,경상자수,1285,711,21,33,13,0,644,494,284,210,,,68,68,12,12,0,0,1262,650,25,37,30,1,557,529,284,245,,,74,74,6,6,3,3,1072,611,26,18,18,0,549,420,200,220,,,26,26,7,7,8,8,1094,656,14,29,20,,593,408,193,215,,,25,25,5,5,,,1089,637,31,15,22,4,565,438,257,181,,,14,14,,,,
,,부상신고자수,173,104,3,1,1,0,99,63,33,30,,,5,5,0,0,1,1,230,111,6,2,4,0,99,110,62,48,,,5,5,4,4,0,0,209,115,6,3,3,0,103,88,47,41,,,2,2,2,2,2,2,209,126,6,8,3,,109,79,42,37,,,3,3,1,1,,,180,108,9,1,10,0,88,69,34,35,,,3,3,,,,
,용산구,발생건수,1203,842,47,30,,62,703,329,180,149,1,1,14,14,14,14,3,3,1391,938,51,23,6,63,795,377,236,141,,,49,49,23,23,4,4,1350,873,47,21,4,53,748,399,236,163,,,70,70,8,8,,,1516,1012,50,26,5,56,875,467,223,244,,,20,20,12,12,5,5,1428,932,36,12,5,25,854,477,241,236,,,12,12,6,6,1,1
,,사망자수,11,8,1,0,,0,7,3,2,1,0,0,0,0,0,0,0,0,13,7,1,0,0,2,4,4,0,4,,,1,1,1,1,0,0,8,4,1,0,1,0,2,3,3,0,,,1,1,0,0,,,18,13,2,1,1,1,8,4,3,1,,,0,0,0,0,1,1,12,8,1,0,0,2,5,4,3,1,,,0,0,0,0,0,0
,,부상자수,1809,1254,49,39,,113,1053,490,269,221,1,1,25,25,34,34,5,5,2023,1361,54,32,11,103,1161,544,348,196,,,79,79,35,35,4,4,1971,1234,52,21,5,101,1055,639,373,266,,,86,86,12,12,,,2110,1426,50,26,5,108,1237,633,293,340,,,26,26,19,19,6,6,2069,1363,44,21,6,32,1260,678,342,336,,,13,13,9,9,6,6
,,중상자수,581,399,22,14,,27,336,165,102,63,0,0,8,8,7,7,2,2,529,361,28,12,2,19,300,140,96,44,,,22,22,5,5,1,1,488,315,26,10,2,24,253,148,100,48,,,20,20,5,5,,,513,338,27,8,1,24,278,160,74,86,,,7,7,5,5,3,3,458,301,11,7,0,9,274,151,84,67,,,2,2,1,1,3,3
,,경상자수,1154,807,25,24,,79,679,309,162,147,1,1,12,12,23,23,2,2,1351,915,23,16,9,78,789,371,232,139,,,36,36,27,27,2,2,1338,825,22,10,3,68,722,450,248,202,,,57,57,6,6,,,1409,951,19,17,3,73,839,423,193,230,,,19,19,14,14,2,2,1448,962,29,10,5,21,897,467,228,239,,,8,8,8,8,3,3
,,부상신고자수,74,48,2,1,,7,38,16,5,11,0,0,5,5,4,4,1,1,143,85,3,4,0,6,72,33,20,13,,,21,21,3,3,1,1,145,94,4,1,0,9,80,41,25,16,,,9,9,1,1,,,188,137,4,1,1,11,120,50,26,24,,,0,0,0,0,1,1,163,100,4,4,1,2,89,60,30,30,,,3,3,0,0,0,0
,성동구,발생건수,986,641,35,17,2,38,549,315,201,114,,,24,24,4,4,2,2,1100,699,35,7,4,41,612,381,239,142,,,13,13,4,4,3,3,1189,759,27,9,6,51,666,410,281,129,,,18,18,1,1,1,1,1227,758,36,3,3,38,678,456,298,158,,,9,9,3,3,1,1,1099,650,29,5,2,23,591,434,276,158,,,11,11,3,3,1,1
,,사망자수,6,5,1,1,0,0,3,1,1,0,,,0,0,0,0,0,0,8,6,0,0,0,0,6,2,1,1,,,0,0,0,0,0,0,11,11,0,0,1,2,8,0,0,0,,,0,0,0,0,0,0,8,6,0,0,0,0,6,1,0,1,,,0,0,0,0,1,1,15,7,1,1,0,0,5,7,6,1,,,1,1,0,0,0,0
,,부상자수,1400,930,34,16,3,61,816,435,272,163,,,28,28,5,5,2,2,1458,930,40,7,7,61,815,504,307,197,,,15,15,6,6,3,3,1712,1108,33,9,7,115,944,578,392,186,,,18,18,2,2,6,6,1725,1098,42,4,4,68,980,613,393,220,,,9,9,5,5,0,0,1541,908,30,7,6,39,826,615,386,229,,,11,11,3,3,4,4
,,중상자수,457,298,27,6,0,18,247,145,97,48,,,13,13,1,1,0,0,432,275,18,5,3,21,228,153,108,45,,,2,2,0,0,2,2,532,310,13,4,3,24,266,213,155,58,,,7,7,1,1,1,1,489,297,18,1,1,6,271,190,126,64,,,2,2,0,0,0,0,411,234,14,2,1,8,209,174,121,53,,,2,2,0,0,1,1
,,경상자수,841,564,6,9,3,39,507,258,154,104,,,13,13,4,4,2,2,890,568,19,1,2,38,508,303,172,131,,,13,13,5,5,1,1,1008,690,15,4,1,84,586,302,192,110,,,10,10,1,1,5,5,981,650,20,3,3,52,572,322,204,118,,,6,6,3,3,0,0,900,533,10,5,5,26,487,355,217,138,,,7,7,2,2,3,3
,,부상신고자수,102,68,1,1,0,4,62,32,21,11,,,2,2,0,0,0,0,136,87,3,1,2,2,79,48,27,21,,,0,0,1,1,0,0,172,108,5,1,3,7,92,63,45,18,,,1,1,0,0,0,0,255,151,4,0,0,10,137,101,63,38,,,1,1,2,2,0,0,230,141,6,0,0,5,130,86,48,38,,,2,2,1,1,0,0
,동대문구,발생건수,1881,1081,124,46,,4,907,769,497,272,,,26,26,3,3,2,2,1970,1003,79,37,1,6,880,860,532,328,,,98,98,6,6,3,3,1848,953,71,36,1,9,836,829,488,341,,,58,58,7,7,1,1,2085,1042,67,42,1,4,928,927,587,340,,,109,109,2,2,5,5,2051,1072,69,50,2,6,945,914,542,372,,,57,57,5,5,3,3
,,사망자수,20,14,4,0,,0,10,6,1,5,,,0,0,0,0,0,0,16,6,1,0,0,1,4,7,5,2,,,3,3,0,0,0,0,27,18,2,0,0,0,16,8,6,2,,,1,1,0,0,0,0,16,8,0,1,0,0,7,6,5,1,,,2,2,0,0,0,0,14,10,2,0,0,0,8,4,3,1,,,0,0,0,0,0,0
,,부상자수,2511,1394,130,59,,7,1198,1083,692,391,,,29,29,3,3,2,2,2524,1293,88,46,1,9,1149,1104,703,401,,,110,110,14,14,3,3,2407,1217,75,47,1,10,1084,1102,648,454,,,71,71,16,16,1,1,2731,1348,73,53,1,8,1213,1238,777,461,,,134,134,4,4,7,7,2629,1374,77,59,3,9,1226,1170,700,470,,,68,68,12,12,5,5
,,중상자수,733,433,53,16,,3,361,289,190,99,,,8,8,2,2,1,1,687,366,39,18,1,0,308,285,198,87,,,33,33,2,2,1,1,691,365,45,18,0,3,299,305,189,116,,,18,18,2,2,1,1,702,347,30,11,0,1,305,313,206,107,,,39,39,0,0,3,3,712,385,39,21,1,2,322,299,194,105,,,20,20,5,5,3,3
,,경상자수,1652,891,74,40,,4,773,739,466,273,,,20,20,1,1,1,1,1589,819,45,24,0,8,742,696,422,274,,,60,60,12,12,2,2,1481,742,25,26,1,7,683,682,393,289,,,47,47,10,10,0,0,1786,870,37,34,1,7,791,818,505,313,,,90,90,4,4,4,4,1659,852,27,32,2,6,785,750,443,307,,,48,48,7,7,2,2
,,부상신고자수,126,70,3,3,,0,64,55,36,19,,,1,1,0,0,0,0,248,108,4,4,0,1,99,123,83,40,,,17,17,0,0,0,0,235,110,5,3,0,0,102,115,66,49,,,6,6,4,4,0,0,243,131,6,8,0,0,117,107,66,41,,,5,5,0,0,0,0,258,137,11,6,0,1,119,121,63,58,,,0,0,0,0,0,0
,성북구,발생건수,1572,970,118,60,6,6,780,569,353,216,,,17,17,14,14,2,2,1536,930,109,39,7,11,764,565,356,209,,,16,16,24,24,1,1,1664,1001,96,41,4,8,852,637,418,219,,,15,15,11,11,,,1680,1021,100,38,7,4,872,635,406,229,,,10,10,14,14,,,1618,910,90,58,5,10,747,683,427,256,,,11,11,14,14,,
,,사망자수,11,6,1,2,0,0,3,5,5,0,,,0,0,0,0,0,0,9,6,2,0,0,0,4,3,2,1,,,0,0,0,0,0,0,17,12,2,0,0,0,10,5,1,4,,,0,0,0,0,,,19,17,1,0,1,0,15,2,2,0,,,0,0,0,0,,,13,7,0,0,0,0,7,6,3,3,,,0,0,0,0,,
,,부상자수,2055,1258,131,66,7,10,1044,756,481,275,,,20,20,18,18,3,3,2149,1287,116,46,13,17,1095,799,501,298,,,17,17,45,45,1,1,2227,1314,116,46,4,14,1134,871,590,281,,,20,20,22,22,,,2286,1352,112,56,19,4,1161,898,572,326,,,11,11,25,25,,,2106,1179,94,74,15,11,985,890,574,316,,,13,13,24,24,,
,,중상자수,574,361,61,21,2,5,272,204,135,69,,,4,4,3,3,2,2,575,357,44,16,4,3,290,202,137,65,,,6,6,9,9,1,1,590,333,42,21,2,1,267,241,156,85,,,11,11,5,5,,,576,358,39,14,5,0,300,215,137,78,,,1,1,2,2,,,500,280,39,26,0,6,209,215,149,66,,,4,4,1,1,,
,,경상자수,1343,805,57,40,4,5,699,511,320,191,,,15,15,12,12,0,0,1446,850,64,28,9,14,735,551,334,217,,,10,10,35,35,0,0,1478,878,65,22,2,13,776,574,389,185,,,9,9,17,17,,,1519,877,66,39,14,4,754,612,395,217,,,7,7,23,23,,,1500,832,54,42,15,4,717,636,401,235,,,9,9,23,23,,
,,부상신고자수,138,92,13,5,1,0,73,41,26,15,,,1,1,3,3,1,1,128,80,8,2,0,0,70,46,30,16,,,1,1,1,1,0,0,159,103,9,3,0,0,91,56,45,11,,,0,0,0,0,,,191,117,7,3,0,0,107,71,40,31,,,3,3,0,0,,,106,67,1,6,0,1,59,39,24,15,,,0,0,0,0,,
,도봉구,발생건수,983,528,66,33,1,1,427,432,306,126,,,18,18,,,5,5,934,442,34,14,,3,391,472,332,140,,,17,17,,,3,3,919,435,37,23,,2,373,452,282,170,,,30,30,2,2,,,914,414,33,26,,1,354,485,332,153,,,13,13,,,2,2,949,393,22,21,1,2,347,540,357,183,,,13,13,,,3,3
,,사망자수,16,11,1,2,0,0,8,4,4,0,,,1,1,,,0,0,8,5,2,0,,0,3,3,3,0,,,0,0,,,0,0,14,7,2,0,,0,5,7,4,3,,,0,0,0,0,,,8,3,2,0,,0,1,5,3,2,,,0,0,,,0,0,11,8,2,0,0,0,6,3,2,1,,,0,0,,,0,0
,,부상자수,1294,668,66,47,1,3,551,599,411,188,,,22,22,,,5,5,1259,555,34,15,,4,502,681,467,214,,,19,19,,,4,4,1205,554,40,23,,2,489,612,370,242,,,37,37,2,2,,,1255,546,34,35,,2,475,690,467,223,,,14,14,,,5,5,1306,515,22,25,1,2,465,774,521,253,,,13,13,,,4,4
,,중상자수,380,194,35,21,0,1,137,172,127,45,,,11,11,,,3,3,372,168,18,7,,1,142,194,135,59,,,10,10,,,0,0,319,151,13,8,,0,130,158,113,45,,,8,8,2,2,,,361,169,17,15,,0,137,191,136,55,,,1,1,,,0,0,355,141,18,8,1,1,113,211,143,68,,,2,2,,,1,1
,,경상자수,782,399,27,20,1,1,350,373,239,134,,,8,8,,,2,2,727,316,12,6,,3,295,402,270,132,,,5,5,,,4,4,704,321,17,11,,1,292,360,208,152,,,23,23,0,0,,,725,318,12,20,,2,284,394,263,131,,,9,9,,,4,4,775,302,4,15,0,0,283,463,305,158,,,8,8,,,2,2
,,부상신고자수,132,75,4,6,0,1,64,54,45,9,,,3,3,,,0,0,160,71,4,2,,0,65,85,62,23,,,4,4,,,0,0,182,82,10,4,,1,67,94,49,45,,,6,6,0,0,,,169,59,5,0,,0,54,105,68,37,,,4,4,,,1,1,176,72,0,2,0,1,69,100,73,27,,,3,3,,,1,1
,은평구,발생건수,1519,896,88,45,1,,762,604,377,227,,,18,18,1,1,,,1270,732,77,31,,2,622,521,307,214,,,16,16,,,1,1,1325,719,49,28,2,3,637,586,348,238,,,19,19,,,1,1,1203,609,54,22,1,1,531,577,322,255,,,17,17,,,,,1121,557,41,29,2,2,483,555,338,217,,,9,9,,,,
,,사망자수,21,17,5,0,0,,12,4,3,1,,,0,0,0,0,,,10,6,1,0,,0,5,4,3,1,,,0,0,,,0,0,11,8,3,0,0,0,5,3,2,1,,,0,0,,,0,0,16,10,2,1,0,0,7,6,4,2,,,0,0,,,,,14,2,0,1,0,0,1,12,7,5,,,0,0,,,,
,,부상자수,2197,1212,95,83,2,,1032,965,637,328,,,19,19,1,1,,,1716,917,87,49,,2,779,777,475,302,,,20,20,,,2,2,1889,1020,52,53,3,7,905,842,499,343,,,26,26,,,1,1,1673,791,58,33,1,1,698,862,484,378,,,20,20,,,,,1518,730,44,39,3,2,642,779,502,277,,,9,9,,,,
,,중상자수,461,262,43,21,0,,198,192,114,78,,,7,7,0,0,,,456,257,39,13,,0,205,193,112,81,,,4,4,,,2,2,512,282,33,18,2,5,224,221,141,80,,,9,9,,,0,0,438,217,22,8,1,0,186,216,125,91,,,5,5,,,,,433,219,18,11,1,1,188,211,133,78,,,3,3,,,,
,,경상자수,1451,797,49,52,0,,696,642,439,203,,,11,11,1,1,,,1038,543,39,31,,2,471,483,301,182,,,12,12,,,0,0,1111,599,16,33,1,1,548,497,290,207,,,14,14,,,1,1,1025,469,26,21,0,1,421,544,301,243,,,12,12,,,,,939,443,25,22,2,1,393,490,312,178,,,6,6,,,,
,,부상신고자수,285,153,3,10,2,,138,131,84,47,,,1,1,0,0,,,222,117,9,5,,0,103,101,62,39,,,4,4,,,0,0,266,139,3,2,0,1,133,124,68,56,,,3,3,,,0,0,210,105,10,4,0,0,91,102,58,44,,,3,3,,,,,146,68,1,6,0,0,61,78,57,21,,,0,0,,,,
,서대문구,발생건수,1041,681,59,23,14,5,580,316,238,78,,,28,28,16,16,,,1081,702,51,29,17,5,600,346,246,100,,,23,23,10,10,,,1122,730,63,21,7,12,627,360,248,112,,,16,16,16,16,,,1071,709,40,14,1,3,651,328,220,108,,,23,23,10,10,1,1,1135,752,41,27,4,7,673,357,234,123,,,16,16,10,10,,
,,사망자수,13,8,0,0,0,0,8,5,3,2,,,0,0,0,0,,,14,13,1,0,1,0,11,1,0,1,,,0,0,0,0,,,16,11,1,2,0,0,8,3,3,0,,,0,0,2,2,,,13,10,0,1,0,0,9,3,3,0,,,0,0,0,0,0,0,14,11,0,3,0,0,8,3,2,1,,,0,0,0,0,,
,,부상자수,1645,1032,73,25,22,14,898,536,422,114,,,39,39,38,38,,,1578,1001,51,36,37,20,857,539,388,151,,,26,26,12,12,,,1590,986,64,21,9,20,872,553,396,157,,,19,19,32,32,,,1492,948,43,15,1,3,886,498,350,148,,,28,28,17,17,1,1,1566,986,46,29,4,11,896,541,351,190,,,21,21,18,18,,
,,중상자수,413,246,35,5,4,2,200,148,123,25,,,13,13,6,6,,,409,275,25,16,8,6,220,124,86,38,,,7,7,3,3,,,453,292,35,4,3,4,246,145,105,40,,,8,8,8,8,,,416,261,18,6,0,1,236,139,98,41,,,8,8,8,8,0,0,365,236,19,15,0,1,201,123,81,42,,,4,4,2,2,,
,,경상자수,1049,668,33,19,17,4,595,327,247,80,,,25,25,29,29,,,904,572,22,11,25,14,500,313,230,83,,,10,10,9,9,,,916,559,26,14,6,14,499,326,227,99,,,9,9,22,22,,,854,549,23,8,1,2,515,288,201,87,,,9,9,8,8,0,0,1000,625,23,11,4,9,578,348,226,122,,,15,15,12,12,,
,,부상신고자수,183,118,5,1,1,8,103,61,52,9,,,1,1,3,3,,,265,154,4,9,4,0,137,102,72,30,,,9,9,0,0,,,221,135,3,3,0,2,127,82,64,18,,,2,2,2,2,,,222,138,2,1,0,0,135,71,51,20,,,11,11,1,1,1,1,201,125,4,3,0,1,117,70,44,26,,,2,2,4,4,,
,마포구,발생건수,1561,1023,79,54,2,63,825,468,289,179,,,56,56,13,13,1,1,1747,1092,83,57,5,72,875,568,355,213,,,70,70,12,12,5,5,1759,1030,66,38,5,32,889,614,373,241,,,105,105,6,6,4,4,1802,1126,62,31,3,37,993,645,374,271,,,24,24,6,6,1,1,1768,1141,58,18,1,25,1039,600,363,237,,,24,24,3,3,,
,,사망자수,23,18,5,1,0,3,9,5,4,1,,,0,0,0,0,0,0,23,18,1,0,0,1,16,5,3,2,,,0,0,0,0,0,0,20,15,2,3,0,0,10,3,3,0,,,2,2,0,0,0,0,17,15,2,1,0,0,12,2,2,0,,,0,0,0,0,0,0,15,9,1,0,0,0,8,6,4,2,,,0,0,0,0,,
,,부상자수,2363,1575,87,71,3,123,1291,685,415,270,,,76,76,26,26,1,1,2732,1785,95,85,9,152,1444,809,520,289,,,101,101,32,32,5,5,2633,1528,75,48,8,82,1315,925,535,390,,,163,163,10,10,7,7,2730,1675,64,41,14,122,1434,1010,588,422,,,26,26,18,18,1,1,2605,1717,58,26,4,41,1588,850,524,326,,,30,30,8,8,,
,,중상자수,720,468,48,24,0,40,356,224,140,84,,,21,21,7,7,0,0,765,473,45,29,3,41,355,248,170,78,,,33,33,9,9,2,2,715,421,34,26,1,15,345,239,143,96,,,48,48,3,3,4,4,706,435,30,21,6,21,357,257,162,95,,,8,8,5,5,1,1,587,375,31,9,0,11,324,204,130,74,,,8,8,0,0,,
